item;source;target;cycle_1;order;package
880001;place_order item;item_out_of_stock item_pass;0;990001;660001
880001;item_out_of_stock item_pass;reorder_item item_pass;0;990001;660001
880001;reorder_item item_pass;pick_item item;0;990001;660001
880001;pick_item item;confirm_order item;0;990001;660001
880001;confirm_order item;payment_remider item_pass;0;990001;660001
880001;payment_remider item_pass;payment item;0;990001;660001
880001;payment item;create_package item;0;990001;660001
880001;create_package item;send_package item;0;990001;660001
880001;send_package item;failed_delivery item_pass;0;990001;660001
880001;failed_delivery item_pass;package_delivered item;0;990001;660001
880002;place_order item;item_out_of_stock item_pass;0;990002;660002
880002;item_out_of_stock item_pass;reorder_item item_pass;0;990002;660002
880002;reorder_item item_pass;pick_item item;0;990002;660002
880002;pick_item item;confirm_order item;0;990002;660002
880002;confirm_order item;payment_remider item_pass;0;990002;660002
880002;payment_remider item_pass;payment item;0;990002;660002
880002;payment item;create_package item;0;990002;660002
880002;create_package item;send_package item;0;990002;660002
880002;send_package item;failed_delivery item_pass;0;990002;660002
880002;failed_delivery item_pass;package_delivered item;0;990002;660002
880003;place_order item;item_out_of_stock item_pass;0;990003;660003
880003;item_out_of_stock item_pass;reorder_item item_pass;0;990003;660003
880003;reorder_item item_pass;pick_item item;0;990003;660003
880003;pick_item item;confirm_order item;0;990003;660003
880003;confirm_order item;payment_remider item_pass;0;990003;660003
880003;payment_remider item_pass;payment item;0;990003;660003
880003;payment item;create_package item;0;990003;660003
880003;create_package item;send_package item;0;990003;660003
880003;send_package item;failed_delivery item_pass;0;990003;660003
880003;failed_delivery item_pass;package_delivered item;0;990003;660003
880004;place_order item;item_out_of_stock item_pass;0;990004;660004
880004;item_out_of_stock item_pass;reorder_item item_pass;0;990004;660004
880004;reorder_item item_pass;pick_item item;0;990004;660004
880004;pick_item item;confirm_order item;0;990004;660004
880004;confirm_order item;payment_remider item_pass;0;990004;660004
880004;payment_remider item_pass;payment item;0;990004;660004
880004;payment item;create_package item;0;990004;660004
880004;create_package item;send_package item;0;990004;660004
880004;send_package item;failed_delivery item_pass;0;990004;660004
880004;failed_delivery item_pass;package_delivered item;0;990004;660004
880005;place_order item;item_out_of_stock item_pass;0;990005;660005
880005;item_out_of_stock item_pass;reorder_item item_pass;0;990005;660005
880005;reorder_item item_pass;pick_item item;0;990005;660005
880005;pick_item item;confirm_order item;0;990005;660005
880005;confirm_order item;payment_remider item_pass;0;990005;660005
880005;payment_remider item_pass;payment item;0;990005;660005
880005;payment item;create_package item;0;990005;660005
880005;create_package item;send_package item;0;990005;660005
880005;send_package item;failed_delivery item_pass;0;990005;660005
880005;failed_delivery item_pass;package_delivered item;0;990005;660005
880006;place_order item;item_out_of_stock item_pass;0;990006;660006
880006;item_out_of_stock item_pass;reorder_item item_pass;0;990006;660006
880006;reorder_item item_pass;pick_item item;0;990006;660006
880006;pick_item item;confirm_order item;0;990006;660006
880006;confirm_order item;payment_remider item_pass;0;990006;660006
880006;payment_remider item_pass;payment item;0;990006;660006
880006;payment item;create_package item;0;990006;660006
880006;create_package item;send_package item;0;990006;660006
880006;send_package item;failed_delivery item_pass;0;990006;660006
880006;failed_delivery item_pass;package_delivered item;0;990006;660006
880007;place_order item;item_out_of_stock item_pass;0;990007;660007
880007;item_out_of_stock item_pass;reorder_item item_pass;0;990007;660007
880007;reorder_item item_pass;pick_item item;0;990007;660007
880007;pick_item item;confirm_order item;0;990007;660007
880007;confirm_order item;payment_remider item_pass;0;990007;660007
880007;payment_remider item_pass;payment item;0;990007;660007
880007;payment item;create_package item;0;990007;660007
880007;create_package item;send_package item;0;990007;660007
880007;send_package item;failed_delivery item_pass;0;990007;660007
880007;failed_delivery item_pass;package_delivered item;0;990007;660007
880008;place_order item;item_out_of_stock item_pass;0;990008;660008
880008;item_out_of_stock item_pass;reorder_item item_pass;0;990008;660008
880008;reorder_item item_pass;pick_item item;0;990008;660008
880008;pick_item item;confirm_order item;0;990008;660008
880008;confirm_order item;payment_remider item_pass;0;990008;660008
880008;payment_remider item_pass;payment item;0;990008;660008
880008;payment item;create_package item;0;990008;660008
880008;create_package item;send_package item;0;990008;660008
880008;send_package item;failed_delivery item_pass;0;990008;660008
880008;failed_delivery item_pass;package_delivered item;0;990008;660008
880009;place_order item;item_out_of_stock item_pass;0;990009;660009
880009;item_out_of_stock item_pass;reorder_item item_pass;0;990009;660009
880009;reorder_item item_pass;pick_item item;0;990009;660009
880009;pick_item item;confirm_order item;0;990009;660009
880009;confirm_order item;payment_remider item_pass;0;990009;660009
880009;payment_remider item_pass;payment item;0;990009;660009
880009;payment item;create_package item;0;990009;660009
880009;create_package item;send_package item;0;990009;660009
880009;send_package item;failed_delivery item_pass;0;990009;660009
880009;failed_delivery item_pass;package_delivered item;0;990009;660009
880010;place_order item;item_out_of_stock item_pass;0;990010;660010
880010;item_out_of_stock item_pass;reorder_item item_pass;0;990010;660010
880010;reorder_item item_pass;pick_item item;0;990010;660010
880010;pick_item item;confirm_order item;0;990010;660010
880010;confirm_order item;payment_remider item_pass;0;990010;660010
880010;payment_remider item_pass;payment item;0;990010;660010
880010;payment item;create_package item;0;990010;660010
880010;create_package item;send_package item;0;990010;660010
880010;send_package item;failed_delivery item_pass;0;990010;660010
880010;failed_delivery item_pass;package_delivered item;0;990010;660010
880011;place_order item;item_out_of_stock item_pass;0;990011;660011
880011;item_out_of_stock item_pass;reorder_item item_pass;0;990011;660011
880011;reorder_item item_pass;pick_item item;0;990011;660011
880011;pick_item item;confirm_order item;0;990011;660011
880011;confirm_order item;payment_remider item_pass;0;990011;660011
880011;payment_remider item_pass;payment item;0;990011;660011
880011;payment item;create_package item;0;990011;660011
880011;create_package item;send_package item;0;990011;660011
880011;send_package item;failed_delivery item_pass;0;990011;660011
880011;failed_delivery item_pass;package_delivered item;0;990011;660011
880012;place_order item;item_out_of_stock item_pass;0;990012;660012
880012;item_out_of_stock item_pass;reorder_item item_pass;0;990012;660012
880012;reorder_item item_pass;pick_item item;0;990012;660012
880012;pick_item item;confirm_order item;0;990012;660012
880012;confirm_order item;payment_remider item_pass;0;990012;660012
880012;payment_remider item_pass;payment item;0;990012;660012
880012;payment item;create_package item;0;990012;660012
880012;create_package item;send_package item;0;990012;660012
880012;send_package item;failed_delivery item_pass;0;990012;660012
880012;failed_delivery item_pass;package_delivered item;0;990012;660012
880013;place_order item;item_out_of_stock item_pass;0;990013;660013
880013;item_out_of_stock item_pass;reorder_item item_pass;0;990013;660013
880013;reorder_item item_pass;pick_item item;0;990013;660013
880013;pick_item item;confirm_order item;0;990013;660013
880013;confirm_order item;payment_remider item_pass;0;990013;660013
880013;payment_remider item_pass;payment item;0;990013;660013
880013;payment item;create_package item;0;990013;660013
880013;create_package item;send_package item;0;990013;660013
880013;send_package item;failed_delivery item_pass;0;990013;660013
880013;failed_delivery item_pass;package_delivered item;0;990013;660013
880014;place_order item;item_out_of_stock item_pass;0;990014;660014
880014;item_out_of_stock item_pass;reorder_item item_pass;0;990014;660014
880014;reorder_item item_pass;pick_item item;0;990014;660014
880014;pick_item item;confirm_order item;0;990014;660014
880014;confirm_order item;payment_remider item_pass;0;990014;660014
880014;payment_remider item_pass;payment item;0;990014;660014
880014;payment item;create_package item;0;990014;660014
880014;create_package item;send_package item;0;990014;660014
880014;send_package item;failed_delivery item_pass;0;990014;660014
880014;failed_delivery item_pass;package_delivered item;0;990014;660014
880015;place_order item;item_out_of_stock item_pass;0;990015;660015
880015;item_out_of_stock item_pass;reorder_item item_pass;0;990015;660015
880015;reorder_item item_pass;pick_item item;0;990015;660015
880015;pick_item item;confirm_order item;0;990015;660015
880015;confirm_order item;payment_remider item_pass;0;990015;660015
880015;payment_remider item_pass;payment item;0;990015;660015
880015;payment item;create_package item;0;990015;660015
880015;create_package item;send_package item;0;990015;660015
880015;send_package item;failed_delivery item_pass;0;990015;660015
880015;failed_delivery item_pass;package_delivered item;0;990015;660015
880016;place_order item;item_out_of_stock item_pass;0;990016;660016
880016;item_out_of_stock item_pass;reorder_item item_pass;0;990016;660016
880016;reorder_item item_pass;pick_item item;0;990016;660016
880016;pick_item item;confirm_order item;0;990016;660016
880016;confirm_order item;payment_remider item_pass;0;990016;660016
880016;payment_remider item_pass;payment item;0;990016;660016
880016;payment item;create_package item;0;990016;660016
880016;create_package item;send_package item;0;990016;660016
880016;send_package item;failed_delivery item_pass;0;990016;660016
880016;failed_delivery item_pass;package_delivered item;0;990016;660016
880017;place_order item;item_out_of_stock item_pass;0;990017;660017
880017;item_out_of_stock item_pass;reorder_item item_pass;0;990017;660017
880017;reorder_item item_pass;pick_item item;0;990017;660017
880017;pick_item item;confirm_order item;0;990017;660017
880017;confirm_order item;payment_remider item_pass;0;990017;660017
880017;payment_remider item_pass;payment item;0;990017;660017
880017;payment item;create_package item;0;990017;660017
880017;create_package item;send_package item;0;990017;660017
880017;send_package item;failed_delivery item_pass;0;990017;660017
880017;failed_delivery item_pass;package_delivered item;0;990017;660017
880018;place_order item;item_out_of_stock item_pass;0;990018;660018
880018;item_out_of_stock item_pass;reorder_item item_pass;0;990018;660018
880018;reorder_item item_pass;pick_item item;0;990018;660018
880018;pick_item item;confirm_order item;0;990018;660018
880018;confirm_order item;payment_remider item_pass;0;990018;660018
880018;payment_remider item_pass;payment item;0;990018;660018
880018;payment item;create_package item;0;990018;660018
880018;create_package item;send_package item;0;990018;660018
880018;send_package item;failed_delivery item_pass;0;990018;660018
880018;failed_delivery item_pass;package_delivered item;0;990018;660018
880019;place_order item;item_out_of_stock item_pass;0;990019;660019
880019;item_out_of_stock item_pass;reorder_item item_pass;0;990019;660019
880019;reorder_item item_pass;pick_item item;0;990019;660019
880019;pick_item item;confirm_order item;0;990019;660019
880019;confirm_order item;payment_remider item_pass;0;990019;660019
880019;payment_remider item_pass;payment item;0;990019;660019
880019;payment item;create_package item;0;990019;660019
880019;create_package item;send_package item;0;990019;660019
880019;send_package item;failed_delivery item_pass;0;990019;660019
880019;failed_delivery item_pass;package_delivered item;0;990019;660019
880020;place_order item;item_out_of_stock item_pass;0;990020;660020
880020;item_out_of_stock item_pass;reorder_item item_pass;0;990020;660020
880020;reorder_item item_pass;pick_item item;0;990020;660020
880020;pick_item item;confirm_order item;0;990020;660020
880020;confirm_order item;payment_remider item_pass;0;990020;660020
880020;payment_remider item_pass;payment item;0;990020;660020
880020;payment item;create_package item;0;990020;660020
880020;create_package item;send_package item;0;990020;660020
880020;send_package item;failed_delivery item_pass;0;990020;660020
880020;failed_delivery item_pass;package_delivered item;0;990020;660020
880021;place_order item;item_out_of_stock item_pass;0;990021;660021
880021;item_out_of_stock item_pass;reorder_item item_pass;0;990021;660021
880021;reorder_item item_pass;pick_item item;0;990021;660021
880021;pick_item item;confirm_order item;0;990021;660021
880021;confirm_order item;payment_remider item_pass;0;990021;660021
880021;payment_remider item_pass;payment item;0;990021;660021
880021;payment item;create_package item;0;990021;660021
880021;create_package item;send_package item;0;990021;660021
880021;send_package item;failed_delivery item_pass;0;990021;660021
880021;failed_delivery item_pass;package_delivered item;0;990021;660021
880022;place_order item;item_out_of_stock item_pass;0;990022;660022
880022;item_out_of_stock item_pass;reorder_item item_pass;0;990022;660022
880022;reorder_item item_pass;pick_item item;0;990022;660022
880022;pick_item item;confirm_order item;0;990022;660022
880022;confirm_order item;payment_remider item_pass;0;990022;660022
880022;payment_remider item_pass;payment item;0;990022;660022
880022;payment item;create_package item;0;990022;660022
880022;create_package item;send_package item;0;990022;660022
880022;send_package item;failed_delivery item_pass;0;990022;660022
880022;failed_delivery item_pass;package_delivered item;0;990022;660022
880023;place_order item;item_out_of_stock item_pass;0;990023;660023
880023;item_out_of_stock item_pass;reorder_item item_pass;0;990023;660023
880023;reorder_item item_pass;pick_item item;0;990023;660023
880023;pick_item item;confirm_order item;0;990023;660023
880023;confirm_order item;payment_remider item_pass;0;990023;660023
880023;payment_remider item_pass;payment item;0;990023;660023
880023;payment item;create_package item;0;990023;660023
880023;create_package item;send_package item;0;990023;660023
880023;send_package item;failed_delivery item_pass;0;990023;660023
880023;failed_delivery item_pass;package_delivered item;0;990023;660023
880024;place_order item;item_out_of_stock item_pass;0;990024;660024
880024;item_out_of_stock item_pass;reorder_item item_pass;0;990024;660024
880024;reorder_item item_pass;pick_item item;0;990024;660024
880024;pick_item item;confirm_order item;0;990024;660024
880024;confirm_order item;payment_remider item_pass;0;990024;660024
880024;payment_remider item_pass;payment item;0;990024;660024
880024;payment item;create_package item;0;990024;660024
880024;create_package item;send_package item;0;990024;660024
880024;send_package item;failed_delivery item_pass;0;990024;660024
880024;failed_delivery item_pass;package_delivered item;0;990024;660024
880025;place_order item;item_out_of_stock item_pass;0;990025;660025
880025;item_out_of_stock item_pass;reorder_item item_pass;0;990025;660025
